Year/month,CO2,Other WMGHG,O3 (T),O3(S),RFari,total aerosol ERF,ERF LUC,Vapour,BC snow,contrails,Solar,Volcanic,Total,Anthro total
1770,0.031883414896041,0.012276936790597,0.01,0,-0.01,-0.048888888888889,-0.01,0,0,0,0.08,0,0.075271462797749,-0.004728537202251
1771,0.033473151115377,0.012887382330355,0.01,0,-0.01,-0.048888888888889,-0.01,0,0,0,0.06,0,0.057471644556843,-0.002528355443157
1772,0.035062466781072,0.013497507765566,0.01,0,-0.01,-0.048888888888889,-0.01,0,0,0,0.05,-0.07,-0.020328914342251,-0.000328914342251
1773,0.036651362134935,0.01410731360994,0.01,0,-0.01,-0.048888888888889,-0.01,0,0,0,0.02,-0.02,0.001869786855986,0.001869786855986
1774,0.038239837418564,0.014716800375757,0.01,0,-0.01,-0.048888888888889,-0.01,0,0,0,0,0,0.004067748905432,0.004067748905432
1775,0.039827892873347,0.015325968573869,0.01,0,-0.01,-0.048888888888889,-0.01,0,0,0,-0.04,0,-0.033735027441673,0.006264972558327
1776,0.041415528740469,0.015934818713705,0.01,0,-0.02,-0.061111111111111,-0.01,0,0,0,-0.04,0,-0.043760763656937,-0.003760763656937
1777,0.043002745260903,0.016543351303284,0.01,0,-0.02,-0.061111111111111,-0.01,0,0,0,-0.04,0,-0.041565014546925,-0.001565014546925
1778,0.044589542675412,0.017151566849209,0.01,0,-0.02,-0.061111111111111,-0.01,0,0,0,0.02,-0.07,-0.04937000158649,0.00062999841351
1779,0.046175921224556,0.017759465856683,0.01,0,-0.02,-0.061111111111111,-0.01,0,0,0,-0.03,-0.07,-0.097175724029873,0.002824275970127
1780,0.047761881148682,0.018367048829507,0.01,0,-0.02,-0.061111111111111,-0.01,0,0,0,-0.07,-0.02,-0.084982181132922,0.005017818867078
1781,0.049347422687939,0.01897431627009,0.01,0,-0.02,-0.073333333333333,-0.01,0,0,0,-0.06,0,-0.065011594375305,-0.005011594375304
1782,0.050932546082257,0.019581268679455,0.01,0,-0.02,-0.073333333333333,-0.01,0,0,0,-0.03,0,-0.032819518571622,-0.002819518571622
1783,0.052517251571367,0.020187906557237,0.01,0,-0.02,-0.073333333333333,-0.01,0,0,0,-0.07,-7.86,-7.93062817520473,-0.000628175204731
1784,0.054101539394791,0.020794230401698,0.01,0,-0.02,-0.073333333333333,-0.01,0,0,0,-0.06,-0.52,-0.578437563536845,0.001562436463156
1785,0.055685409791846,0.021400240709726,0.01,0,-0.02,-0.073333333333333,-0.01,0,0.01,0,-0.05,-0.12,-0.156247682831761,0.013752317168239
1786,0.057268863001642,0.022005937976843,0.02,0,-0.02,-0.073333333333333,-0.01,0,0.01,0,-0.02,-0.03,-0.024058532354848,0.025941467645152
1787,0.058851899263082,0.02261132269721,0.02,0,-0.02,-0.085555555555556,-0.01,0,0.01,0,0,0,0.015907666404737,0.015907666404737
1788,0.060434518814866,0.023216395363631,0.02,0,-0.02,-0.085555555555556,-0.02,0,0.01,0,0.03,-0.13,-0.091904641377059,0.008095358622942
1789,0.062016721895484,0.023821156467559,0.02,0,-0.02,-0.085555555555556,-0.02,0,0.01,0,-0.03,-0.04,-0.059717677192513,0.010282322807488
1790,0.063598508743227,0.024425606499102,0.02,0,-0.02,-0.085555555555556,-0.02,0,0.01,0,-0.06,-0.01,-0.057531440313227,0.012468559686773
1791,0.065179879596177,0.025029745947026,0.02,0,-0.02,-0.085555555555556,-0.02,0,0.01,0,-0.06,0,-0.045345930012353,0.014654069987647
1792,0.066760834692213,0.025633575298764,0.02,0,-0.02,-0.085555555555556,-0.02,0,0.01,0,-0.05,0,-0.033161145564579,0.016838854435421
1793,0.068341374269006,0.026237095040416,0.02,0,-0.02,-0.097777777777778,-0.02,0,0.01,0,-0.07,0,-0.063199308468356,0.006800691531644
1794,0.069921498564026,0.026840305656758,0.02,0,-0.03,-0.097777777777778,-0.02,0,0.01,0,-0.06,-0.16,-0.211015973556993,0.008984026443007
1795,0.071501207814543,0.027443207631247,0.02,0,-0.03,-0.097777777777778,-0.02,0,0.01,0,-0.03,0,-0.018833362331988,0.011166637668012
1796,0.073080502257614,0.028045801446023,0.02,0,-0.03,-0.097777777777778,-0.02,0,0.01,0,-0.03,-0.78,-0.796651474074141,0.013348525925859
1797,0.074659382130099,0.028648087581917,0.02,0,-0.03,-0.097777777777778,-0.02,0,0.01,0,-0.04,-0.07,-0.094470308065762,0.015529691934238
1798,0.076237847668651,0.029250066518455,0.02,0,-0.03,-0.11,-0.02,0,0.01,0,-0.04,-0.02,-0.054512085812895,0.005487914187105
1799,0.077815899109725,0.029851738733862,0.02,0,-0.03,-0.11,-0.02,0,0.01,0,-0.05,0,-0.042332362156413,0.007667637843588
1800,0.079393536689568,0.03045310470507,0.02,0,-0.03,-0.11,-0.02,0,0.01,0,-0.06,0,-0.050153358605362,0.009846641394638
1801,0.080970760644227,0.031054164907718,0.02,0,-0.03,-0.11,-0.02,0,0.01,0,-0.02,-0.15,-0.157975074448056,0.012024925551944
1802,0.082547571209546,0.031654919816161,0.02,0,-0.03,-0.11,-0.02,0,0.01,0,-0.01,-0.05,-0.045797508974293,0.014202491025707
1803,0.084123968621164,0.032255369903476,0.02,0,-0.03,-0.11,-0.02,0,0.01,0,-0.03,-0.01,-0.02362066147536,0.01637933852464
1804,0.085699953114525,0.032855515641459,0.02,0,-0.03,-0.122222222222222,-0.02,0,0.01,0,-0.04,-0.23,-0.263666753466238,0.006333246533762
1805,0.087275524924865,0.033455357500641,0.02,0,-0.03,-0.122222222222222,-0.02,0,0.01,0,-0.05,-0.07,-0.111491339796716,0.008508660203284
1806,0.088850684287223,0.034054895950283,0.02,0,-0.03,-0.122222222222222,-0.02,0,0.01,0,-0.04,-0.02,-0.049316641984717,0.010683358015283
1807,0.090425431436429,0.034654131458387,0.02,0,-0.03,-0.122222222222222,-0.02,0,0.01,0,-0.06,0,-0.047142659327406,0.012857340672594
1808,0.091999766607123,0.035253064491699,0.02,0,-0.03,-0.122222222222222,-0.02,0,0.01,0,-0.07,0,-0.0549693911234,0.0150306088766
1809,0.093573690033738,0.035851695515711,0.03,0,-0.03,-0.134444444444444,-0.02,0,0.01,0,-0.06,-6.95,-6.995019058895,0.014980941105005
1810,0.095147201950505,0.03645002499467,0.03,0,-0.03,-0.134444444444444,-0.02,0,0.01,0,-0.07,-2.25,-2.30284721749927,0.01715278250073
1811,0.096720302591457,0.03704805339158,0.03,0,-0.04,-0.134444444444444,-0.02,0,0.01,0,-0.07,-0.84,-0.890676088461408,0.019323911538592
1812,0.098292992190426,0.037645781168209,0.03,0,-0.04,-0.134444444444444,-0.02,0,0.01,0,-0.07,-0.31,-0.358505671085809,0.021494328914191
1813,0.099865270981048,0.03824320878509,0.03,0,-0.04,-0.134444444444444,-0.03,0,0.01,0,-0.07,-0.11,-0.166335964678306,0.013664035321694
1814,0.101437139196753,0.03884033670153,0.03,0,-0.04,-0.134444444444444,-0.03,0,0.01,0,-0.06,0,-0.044166968546162,0.015833031453838
1815,0.103008597070777,0.039437165375609,0.03,0,-0.04,-0.146666666666667,-0.03,0,0.01,0,-0.06,-11.63,-11.6842209042203,0.005779095779718
1816,0.104579644836152,0.04003369526419,0.03,0,-0.04,-0.146666666666667,-0.03,0,0.01,0,-0.05,-4.55,-4.59205332656632,0.007946673433676
1817,0.106150282725717,0.040629926822924,0.03,0,-0.04,-0.146666666666667,-0.03,0,0.01,0,-0.05,-2.42,-2.45988645711803,0.010113542881974
1818,0.107720510972106,0.041225860506246,0.03,0,-0.04,-0.146666666666667,-0.03,0,0.01,0,-0.05,-0.92,-0.957720295188314,0.012279704811686
1819,0.109290329807759,0.041821496767392,0.03,0,-0.04,-0.146666666666667,-0.03,0,0.01,0,-0.05,-0.34,-0.375554840091515,0.014445159908485
1820,0.110859739464915,0.042416836058392,0.03,0,-0.04,-0.146666666666667,-0.03,0,0.01,0,-0.06,-0.04,-0.08339009114336,0.016609908856641
1821,0.112428740175615,0.043011878830083,0.03,0,-0.04,-0.158888888888889,-0.03,0,0.01,0,-0.06,0,-0.053448269883191,0.006551730116809
1822,0.113997332171704,0.043606625532107,0.03,0,-0.04,-0.158888888888889,-0.03,0,0.01,0,-0.07,0,-0.061284931185078,0.008715068814922
1823,0.11556551568483,0.04420107661292,0.03,0,-0.04,-0.158888888888889,-0.03,0,0.01,0,-0.07,0,-0.059122296591139,0.010877703408861
1824,0.117133290946441,0.044795232519795,0.03,0,-0.04,-0.158888888888889,-0.03,0,0.01,0,-0.06,0,-0.046960365422653,0.013039634577347
1825,0.118700658187786,0.045389093698826,0.03,0,-0.04,-0.158888888888889,-0.03,0,0.01,0,-0.05,0,-0.034799137002277,0.015200862997723
1826,0.120267617639924,0.045982660594932,0.03,0,-0.04,-0.171111111111111,-0.03,0,0.01,0,-0.04,0,-0.034860832876256,0.005139167123745
1827,0.121834169533713,0.046575933651862,0.03,0,-0.04,-0.171111111111111,-0.03,0,0.01,0,-0.02,0,-0.012701007925537,0.007298992074464
